# ELP1 — ELP2000-82B main problem, component=1 (1=longitude(sine),2=latitude(sine),3=distance(cosine, via +pi/2 phase))
# Source: Chapront-Touze M., Chapront J., Astron. Astrophys. 190, 342 (1988) and 124, 50 (1983); IMCCE ftp://ftp.imcce.fr/pub/ephem/moon/elp82b/, coefficients fitted to JPL DE200/LE200. Column layout and phase formula read directly from reference Fortran elp82b_1.
# columns: d,lp,l,f = Delaunay argument multipliers (D, l', l, F); a = amplitude (arcsec for longitude/latitude, km for distance); coef2..coef6 = partial derivatives used only for the DE200/LE200 fit correction (coef7 in the source file is read but never used by elp82b_1, dropped here)
d,lp,l,f,a,coef2,coef3,coef4,coef5,coef6
2,-3,-1,2,-0.00052,-0.01,-0.02,0.0,-0.09,0.0
2,-3,0,-2,0.00163,0.0,0.07,0.0,0.29,0.0
2,-3,0,0,0.33983,13.41,-0.12,0.74,60.98,0.0
2,-3,0,2,-0.00075,-0.03,-0.03,0.0,-0.13,0.0
2,-3,1,-2,-0.00065,-0.02,-0.03,-0.01,-0.12,0.0
2,-3,1,0,0.033,1.42,-0.02,0.67,5.92,0.0
2,-3,1,2,-0.00016,0.0,0.0,0.0,-0.03,0.0
2,-3,2,-2,-5e-05,0.0,0.0,0.0,-0.01,0.0
2,-3,2,0,0.00295,0.14,0.0,0.11,0.53,0.0
2,-3,2,2,-3e-05,0.0,0.0,0.0,0.0,0.0
2,-3,3,0,0.00026,0.01,0.0,0.01,0.05,0.0
2,-3,4,0,2e-05,0.0,0.0,0.0,0.0,0.0
2,-2,-5,0,5e-05,0.0,0.0,0.0,0.0,0.0
2,-2,-4,-2,-1e-05,0.0,0.0,0.0,0.0,0.0
2,-2,-4,0,0.00088,0.01,0.0,0.06,0.1,0.0
2,-2,-3,-2,-0.00013,0.0,0.0,0.0,-0.02,0.0
2,-2,-3,0,0.01544,0.29,0.0,0.84,1.85,0.0
2,-2,-2,-2,-0.00111,-0.03,-0.05,-0.04,-0.13,0.0
2,-2,-2,0,0.29422,6.88,-0.03,10.73,35.21,0.0
2,-2,-2,2,-0.00072,0.0,-0.03,-0.03,-0.09,0.0
2,-2,-1,-2,-0.00434,-0.2,-0.19,-0.08,-0.52,0.0
2,-2,-1,0,7.37173,165.38,-1.06,134.79,881.89,-0.04
2,-2,-1,2,-0.01541,-0.33,-0.69,-0.29,-1.84,0.0
2,-2,-1,4,3e-05,0.0,0.0,0.0,0.0,0.0
2,-2,0,-4,-8e-05,0.0,0.0,0.0,0.0,0.0
2,-2,0,-2,0.06314,0.43,2.82,-0.04,7.55,0.0
2,-2,0,0,8.05076,289.14,-3.14,21.09,962.91,-0.06
2,-2,0,2,-0.01816,-0.62,-0.81,-0.12,-2.17,0.0
2,-2,0,4,4e-05,0.0,0.0,0.0,0.0,0.0
2,-2,1,-4,1e-05,0.0,0.0,0.0,0.0,0.0
2,-2,1,-2,-0.01644,-0.38,-0.74,-0.3,-1.97,0.0
2,-2,1,0,0.75173,29.04,-0.43,15.47,89.9,0.0
2,-2,1,2,-0.00378,-0.14,-0.17,-0.09,-0.45,0.0
2,-2,1,4,1e-05,0.0,0.0,0.0,0.0,0.0
2,-2,2,-2,-0.00133,-0.03,-0.06,-0.05,-0.16,0.0
2,-2,2,0,0.06439,2.63,-0.05,2.5,7.7,0.0
2,-2,2,2,-0.00055,-0.02,-0.02,-0.02,-0.07,0.0
2,-2,3,-2,-0.00011,0.0,0.0,0.0,-0.01,0.0
2,-2,3,0,0.00538,0.23,0.0,0.31,0.64,0.0
2,-2,3,2,-7e-05,0.0,0.0,0.0,0.0,0.0
2,-2,4,0,0.00044,0.02,0.0,0.03,0.05,0.0
2,-2,5,0,4e-05,0.0,0.0,0.0,0.0,0.0
2,-1,-6,0,0.0001,0.0,0.0,0.01,0.0,0.0
2,-1,-5,-2,-3e-05,0.0,0.0,0.0,0.0,0.0
2,-1,-5,0,0.00178,0.01,0.0,0.16,0.11,0.0
2,-1,-4,-2,-0.00036,0.0,-0.02,-0.03,-0.02,0.0
2,-1,-4,0,0.02949,0.41,0.0,2.15,1.77,0.0
2,-1,-4,2,-2e-05,0.0,0.0,0.0,0.0,0.0
2,-1,-3,-4,1e-05,0.0,0.0,0.0,0.0,0.0
2,-1,-3,-2,-0.00365,-0.08,-0.16,-0.2,-0.22,0.0
2,-1,-3,0,0.47842,8.72,-0.05,26.15,28.63,0.0
2,-1,-3,2,3e-05,0.0,0.0,0.0,0.0,0.0
2,-1,-2,-4,5e-05,0.0,0.0,0.0,0.0,0.0
2,-1,-2,-2,-0.02804,-0.74,-1.25,-1.03,-1.68,0.0
2,-1,-2,0,8.60582,187.04,-1.14,313.85,515.03,0.02
2,-1,-2,2,-0.02157,-0.21,-0.97,-0.79,-1.29,0.0
2,-1,-2,4,0.00012,0.0,0.01,0.0,0.0,0.0
2,-1,-1,-4,-0.00015,0.0,-0.01,0.0,0.0,0.0
2,-1,-1,-2,-0.06103,-3.57,-2.72,-1.22,-3.65,0.0
2,-1,-1,0,205.44315,4157.78,-32.99,3751.43,12284.72,-0.13
2,-1,-1,2,-0.42624,-8.3,-19.01,-7.93,-25.48,0.0
2,-1,-1,4,0.00093,0.02,0.08,0.02,0.06,0.0
2,-1,0,-4,-0.00286,-0.02,-0.26,0.0,-0.17,0.0
2,-1,0,-2,2.14619,18.77,95.81,-0.84,128.22,0.05
2,-1,0,0,164.73458,5378.28,-77.43,545.71,9844.15,-0.18
2,-1,0,2,-0.38215,-11.75,-16.94,-3.1,-22.84,0.0
2,-1,0,4,0.00089,0.03,0.08,0.01,0.05,0.0
